Date: 2019-12-23 15:15:13.3195 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-slideto-min-js: Correlation ID not set, using generated 89ff3857-6400-4e47-88ac-28a5eb34e580 , 
Date: 2019-12-23 15:15:13.3195 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-1-8-0-min-js: Correlation ID not set, using generated 22eb2277-2644-402c-8b29-b7b846ad37d5 , 
Date: 2019-12-23 15:15:13.3195 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-wiggle-min-js: Correlation ID not set, using generated 41cd3d11-7061-43ce-aba7-56b4d51de5f1 , 
Date: 2019-12-23 15:15:13.3195 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-ba-bbq-min-js: Correlation ID not set, using generated ebf4e210-954c-43ab-aa0d-7df2b455c9a0 , 
Date: 2019-12-23 15:15:13.3195 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/lodash-min-js: Correlation ID not set, using generated 2d6dda51-d561-43b1-b6d4-e154d6143442 , 
Date: 2019-12-23 15:15:13.3355 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/backbone-min-js: Correlation ID not set, using generated 50448038-158c-4590-88ec-f15c3260626e , 
Date: 2019-12-23 15:15:13.3355 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/handlebars-4-0-5-js: Correlation ID not set, using generated f271a289-8ee9-41a0-9991-2d4083fce008 , 
Date: 2019-12-23 15:15:13.3355 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/swagger-ui-min-js: Correlation ID not set, using generated b8bb7050-a4a1-42a1-87e8-22af4544603d , 
Date: 2019-12-23 15:15:13.3355 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/highlight-9-1-0-pack-js: Correlation ID not set, using generated e86622ac-6819-4c34-a091-c247a8cc2aa4 , 
Date: 2019-12-23 15:15:13.3355 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/highlight-9-1-0-pack_extended-js: Correlation ID not set, using generated af63bd91-4d78-4bd5-8ded-93bc84b350ed , 
Date: 2019-12-23 15:15:13.3355 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/marked-js: Correlation ID not set, using generated 2ae28f5a-3ac7-4272-9fd9-627b0a156775 , 
Date: 2019-12-23 15:15:13.3495 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jsoneditor-min-js: Correlation ID not set, using generated 8c431449-2f3f-4289-9d46-b6e7d33823d3 , 
Date: 2019-12-23 15:15:13.3495 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/swagger-oauth-js: Correlation ID not set, using generated 8ac15cf7-b11c-4941-be9f-e2f3148d0246 , 
Date: 2019-12-23 15:15:13.3495 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/logo_small-png: Correlation ID not set, using generated 01957e19-3811-450e-9c55-16e1ccc9b4d3 , 
Date: 2019-12-23 15:15:13.5565 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/docs/v1: Correlation ID not set, using generated aa10f54f-10b1-4419-8f3b-90338498ddb0 , 
Date: 2019-12-23 15:15:13.6575 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/favicon-32x32-png: Correlation ID not set, using generated 2cb6616a-63f0-4f93-887e-12c6fbc72007 , 
Date: 2019-12-23 15:15:17.3287 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/images/throbber-gif: Correlation ID not set, using generated a24a1ecd-a837-47f8-a2f1-f746b9ad6aa0 , 
Date: 2019-12-23 15:15:22.3709 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated 1874e076-916e-4e90-8ea5-4eeed9880530 , 
Date: 2019-12-23 15:17:34.6846 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/DaaS/Localization/Languages: Correlation ID not set, using generated eea89d1c-b337-40d6-9cd1-4a682d8b353a , 
Date: 2019-12-23 15:22:45.1941 , LoggerName: Tieto.TSU.Performance.DataService.WebApiApplication , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: Trace entry using Tieto.TSU.Performance.DataService -> Application_Start , 
Date: 2019-12-23 15:22:48.0484 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger: Correlation ID not set, using generated 2743baeb-2f21-4364-9ef7-5be1e4304d8d , 
Date: 2019-12-23 15:22:48.5780 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/index: Correlation ID not set, using generated fee39111-fe05-4be6-9f10-fd48d89ffc9d , 
Date: 2019-12-23 15:22:48.6500 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/screen-css: Correlation ID not set, using generated 27fe9b6a-1260-407a-87e6-f64518169dcb , 
Date: 2019-12-23 15:22:48.6500 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/object-assign-pollyfill-js: Correlation ID not set, using generated f23de195-8529-4bd3-96df-a19d2d590b30 , 
Date: 2019-12-23 15:22:48.6500 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/ext/Tieto-TSU-Performance-DataService-Content-SwaggerCustom-css: Correlation ID not set, using generated 9dd95a9e-4037-482e-8498-f7cf1981cebf , 
Date: 2019-12-23 15:22:48.6500 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/typography-css: Correlation ID not set, using generated 4ed0010f-4985-400f-ae35-f331041ecbf6 , 
Date: 2019-12-23 15:22:48.6500 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/reset-css: Correlation ID not set, using generated 4bee131b-68a0-4733-9dbf-15c9d09b730f , 
Date: 2019-12-23 15:22:48.6500 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/css/print-css: Correlation ID not set, using generated d31ab8a1-3a4d-4895-9483-3f6413fa8c3d , 
Date: 2019-12-23 15:22:48.6770 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-1-8-0-min-js: Correlation ID not set, using generated 1cd32394-2756-42f0-a322-5cad178126a5 , 
Date: 2019-12-23 15:22:48.6770 , LoggerName: CorrelationIDDelegatingHandler , LogLevel: TRACE , ApplicationName: Datatest , LogMessage: GET http://localhost:33162/swagger/ui/lib/jquery-wiggle-min-js: Correlation ID not set, using generated 5f386f5c-8bc8-4c3f-8e4a-8541e1976881 , 
